Respondent,SourceStimuliName,VisitedAOI,Dwell Start,Dwell End,Number of Fixations in Dwell,Number of Saccades in Dwell,Dwell Time
P2,SWA_Stimulus,SWA_Stimulus_Journalist_List_1,54934.4825,55351.0837,1,7,416.6012000000046
P2,SWA_Stimulus,SWA_Stimulus_Journalist_List_1,55859.415,56084.3914,1,0,224.97639999999956
P2,SWA_Stimulus,SWA_Stimulus_Journalist_List_1,56317.6953,57722.1773,2,2,1404.4820000000036
P2,SWA_Stimulus,SWA_Stimulus_EventInfo_2,60776.8789,60893.504,1,1,116.62509999999747
P2,SWA_Stimulus,SWA_Stimulus_Status_Published1,63152.8651,63277.8332,1,0,124.96809999999823
P2,SWA_Stimulus,SWA_Stimulus_Journalist_List_3,63969.4322,63986.1096,0,1,16.67740000000049
P2,SWA_Stimulus,SWA_Stimulus_EventInfo_1,64027.7884,64036.1244,0,1,8.336000000002969
P2,SWA_Stimulus,SWA_Stimulus_Journalist_List_3,64069.4337,64094.4079,0,1,24.974199999996927
P2,SWA_Stimulus,SWA_Stimulus_Journalist_List_3,64432.1249,64665.4129,1,3,233.28800000000047
P2,SWA_Stimulus,SWA_Stimulus_EventInfo_1,64682.0679,64790.4092,1,0,108.34130000000005
P2,SWA_Stimulus,SWA_Stimulus_EventInfo_1,64823.7257,65381.9961,2,3,558.270399999994
P2,SWA_Stimulus,SWA_Stimulus_EventInfo_1,65448.6531,65606.9796,1,1,158.32650000000285
P2,SWA_Stimulus,SWA_Stimulus_Status_Published3,65881.9358,65890.2718,0,1,8.335999999995693
P2,SWA_Stimulus,SWA_Stimulus_Journalist_List_3,65915.3274,66165.2777,2,3,249.95030000001134
P2,SWA_Stimulus,SWA_Stimulus_Navigation_2,66806.8377,66940.1532,1,0,133.31549999999697
P2,SWA_Stimulus,SWA_Stimulus_EventInfo_2,67023.49,67165.1315,1,2,141.6414999999979
P2,SWA_Stimulus,SWA_Stimulus_Event_Details,67606.7533,67698.4502,0,1,91.69690000000992
P2,SWA_Stimulus,SWA_Stimulus_Event_Details,67756.7305,69456.6021,5,14,1699.8715999999986
P2,SWA_Stimulus,SWA_Stimulus_Event_Details,69489.9269,69664.8492,1,1,174.92229999999108
P2,SWA_Stimulus,SWA_Stimulus_Available_Journalists,71789.6393,71806.3176,0,1,16.67829999999958
P2,SWA_Stimulus,SWA_Stimulus_Event_Details,71847.9685,72414.5483,4,5,566.5797999999922
P2,SWA_Stimulus,SWA_Stimulus_Available_Journalists,72414.5483,73881.0715,2,3,1466.5232000000105
P2,SWA_Stimulus,SWA_Stimulus_Event_Details,74597.6475,76314.1255,5,8,1716.4779999999882
P2,SWA_Stimulus,SWA_Stimulus_Journalist_List_1,77797.2912,77997.2966,1,1,200.00539999999455
P2,SWA_Stimulus,SWA_Stimulus_Status_Published1,77997.2966,78255.6198,2,1,258.3231999999989
P2,SWA_Stimulus,SWA_Stimulus_Journalist_List_1,78255.6198,78688.8674,1,3,433.2476000000024
P2,SWA_Stimulus,SWA_Stimulus_Journalist_List_1,80180.4128,80363.6892,1,1,183.27639999998792
P2,SWA_Stimulus,SWA_Stimulus_Journalist_List_1,81005.2635,81480.2278,2,6,474.96429999999236
P2,SWA_Stimulus,SWA_Stimulus_Status_Published1,81596.8718,81830.1766,1,3,233.30480000001262
P2,SWA_Stimulus,SWA_Stimulus_Journalist_List_2,82113.5092,82196.8115,0,2,83.30229999999574
P2,SWA_Stimulus,SWA_Stimulus_Journalist_List_2,82355.1135,82555.1083,1,3,199.9948000000004
P2,SWA_Stimulus,SWA_Stimulus_Status_Published1,82605.0952,83721.6349,3,2,1116.5397000000085
P2,SWA_Stimulus,SWA_Stimulus_Status_Published1,83846.6565,85071.5164,1,0,1224.8598999999958
P2,SWA_Stimulus,SWA_Stimulus_Journalist_List_1,85138.1357,85788.0689,1,2,649.9331999999995
P2,SWA_Stimulus,SWA_Stimulus_Event_Details,86371.3518,97120.1907,24,103,10748.838900000002
P2,SWA_Stimulus,SWA_Stimulus_Available_Journalists,97178.5023,97570.1492,1,2,391.646900000007
P2,SWA_Stimulus,SWA_Stimulus_Event_Details,97678.4682,97753.4752,0,1,75.00699999999779
P2,SWA_Stimulus,SWA_Stimulus_Available_Journalists,97770.1481,98003.4486,1,1,233.30049999999756
P2,SWA_Stimulus,SWA_Stimulus_Event_Details,98003.4486,98720.0663,1,7,716.6177000000025
P2,SWA_Stimulus,SWA_Stimulus_Available_Journalists,98778.3478,99669.9177,1,4,891.5699000000022
P2,SWA_Stimulus,SWA_Stimulus_Available_Journalists,99728.2499,100919.8046,2,8,1191.5547000000079
P2,SWA_Stimulus,SWA_Stimulus_Available_Journalists,101453.0945,101469.728,0,1,16.633499999996275
P2,SWA_Stimulus,SWA_Stimulus_Available_Journalists,101519.7473,101919.6739,2,4,399.9265999999916
P2,SWA_Stimulus,SWA_Stimulus_Event_Details,102252.9623,102294.6599,0,1,41.69759999999951
P2,SWA_Stimulus,SWA_Stimulus_Available_Journalists,102302.975,102311.2905,0,1,8.315499999996973
P2,SWA_Stimulus,SWA_Stimulus_Event_Details,102327.978,102394.632,0,1,66.653999999995
